번호,영상ID,상태,사유,채널,제목,업로드일,길이,재생목록,문단수,글자수,주소
162,gDDyZkXcfpI,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,내 사주에 특정 오행이 많을 때 대박나는 법✨사주에 같은 색이 최소 2~3개 이상일 때,20220623,40:48,,31,22436,https://www.youtube.com/watch?v=gDDyZkXcfpI
163,GjTshpZWY5E,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 7월운세 - 이번 달부터 치고 나가는 사람들 🆕️260701,20260630,1:03,,1,566,https://www.youtube.com/watch?v=GjTshpZWY5E
164,Aks01uMljX4,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,"[사주] 6월부터 시작되는 하반기 운, 상반기와는 크게 달라집니다ㅣ일간별 26년 하반기 첫단추 잘 꿰는법",20260531,1:29:01,,78,54222,https://www.youtube.com/watch?v=Aks01uMljX4
,z2qCI8DZa28,실패,자막 없음(한국어 자막 미제공),도화도르- 사주팔자 쉽게 풀어주는 남자,"[사주] 5월운세ㅣ26년 운기가 가장 강한 5월, 내 사주에 생길 좋은 일과 조심할 일(일간별 총정리)",20260501,1:13:00,,0,0,https://www.youtube.com/watch?v=z2qCI8DZa28
165,U2lkItDJ4kE,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,"[사주] 4월운세ㅣ지금부터 5월 말까지 좋은 사주, 유의해야하는 사주(사주별 개운법 및 비방법🌟)",20260401,1:29:06,,80,55793,https://www.youtube.com/watch?v=U2lkItDJ4kE
166,6ljooVVZpps,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 3월운세ㅣ26년 새로운 좋은 흐름이 시작되는 사람들(일간별 정리),20260304,1:20:47,,74,49741,https://www.youtube.com/watch?v=6ljooVVZpps
167,C1_8B9XOAeg,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 26년 2월운세🐯ㅣ올해 병오년 시작이 꽤 좋은 사람들 + 일간별 중요한 포인트 짚은 이번 달 운세🌟,20260131,1:25:08,,73,52067,https://www.youtube.com/watch?v=C1_8B9XOAeg
168,fblqpRXNgUk,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 25년 12월운세🐭ㅣ26년 운세까지 스포했더니 분량조절 실패했습니다..💬(1년간 감사했습니다!),20251129,1:47:09,,90,62445,https://www.youtube.com/watch?v=fblqpRXNgUk
169,aEoXEt1Dc0I,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주] 11월운세ㅣ2025년이 내게 주고 떠나는 마지막 좋은 운과 기회ㅣ 정해월 일간별 운세 완벽정리✨,20251029,1:18:54,,128,45468,https://www.youtube.com/watch?v=aEoXEt1Dc0I
170,PVaGLhG3cR4,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,[사주]10월 운세가 좋은 사람은 26년 역시 유리합니다🫧ㅣ일간별 26년을 위해 미리 시작해야하는 것들✨(+New 운세 콘텐츠),20250927,1:14:37,,67,45025,https://www.youtube.com/watch?v=PVaGLhG3cR4
,6mM3TmvcLKU,실패,멤버십 전용(접근 불가),,,,,,0,0,https://www.youtube.com/watch?v=6mM3TmvcLKU
,FBGU4nJieME,실패,멤버십 전용(접근 불가),,,,,,0,0,https://www.youtube.com/watch?v=FBGU4nJieME
,HbfDN7ixAz4,실패,멤버십 전용(접근 불가),,,,,,0,0,https://www.youtube.com/watch?v=HbfDN7ixAz4
,roTt1E0P4hI,실패,멤버십 전용(접근 불가),,,,,,0,0,https://www.youtube.com/watch?v=roTt1E0P4hI
,Rc24FhNWO48,실패,멤버십 전용(접근 불가),,,,,,0,0,https://www.youtube.com/watch?v=Rc24FhNWO48
,5N8Nmdzbmv0,실패,멤버십 전용(접근 불가),,,,,,0,0,https://www.youtube.com/watch?v=5N8Nmdzbmv0
171,iGUblr7Ts38,성공,,도화도르- 사주팔자 쉽게 풀어주는 남자,"[사주] 내가 가진 도화살 종류별 매력 포인트, 장점+ 내 도화살이 발휘되는 년도(+떡상년도🌺)",20230217,22:39,,22,11524,https://www.youtube.com/watch?v=iGUblr7Ts38
