한자,음,훈음(인명),이독음/기타,총획,유니코드
曪,"나,라","나,라 : 날흐릴(라)",,23,U+66EA
瘰,"나,라","나,라 : 연주창(라)",,16,U+7630
癩,"나,라","나,라 : 문둥병(나/라)",나 : 문둥병(라/나),21,U+7669
砢,"나,라","나,라: 돌쌓일(나,라)",가,10,U+7822
羅,"나,라","나,라 : 새그물(나/라)",나 : 새그물(라/나),19,U+7F85
腡,"나,라","나,라 : 손가락끝(라)","과,다,연",13,U+8161
臝,"나,라","나,라: 벌거벗을(라)",,21,U+81DD
蓏,"나,라","나,라 : 풀열매(라)",나,16,U+84CF
蘿,"나,라","나,라 : 무(나/라) 미나리(나/라)",나 : 미나리(라/나),25,U+863F
螺,"나,라","나,라 : 소라(나/라)","나,리 : 소라(라/나)",17,U+87BA
裸,"나,라","나,라 : 벌거벗을(나/라)",나 : 벌거벗을(라/나),14,U+88F8
覶,"나,라","나,라 : 차례(나/라) 곡진할(나/라) 자세히볼(나/라) 좋게볼(나/라)",라 : 차례(라) 곡진 할(라) 자세히볼(라) 좋게볼(라),19,U+89B6
邏,"나,라","나,라 : 순행할(나/라)",나 : 순행할(라/나),23,U+908F
鑼,"나,라","나,라: 징(라)",,27,U+947C
騾,"나,라","나,라 : 노새(라)",로,21,U+9A3E
驘,"나,라","나,라 : 노새(라)",,23,U+9A58
򠄿,"나,라","나,라",라,25,U+A013F
誽,"나,예","나,예 : 떠볼(나) 탐색할(예)",아,15,U+8ABD
諾,낙,낙 : 대답할(낙) 허락(낙),"약,락 : 대답할(락) 허락(락)",16,U+8AFE
򠄷,낙,낙,락,16,U+A0137
嗠,"낙,락","낙,락 : 소젖(낙/락)",,13,U+55E0
洛,"낙,락","낙,락 : 낙수(낙/락)",낙 : 낙수(락/낙),9,U+6D1B
烙,"낙,락","낙,락 : 지질(낙/락)",낙 : 지질(락/낙),10,U+70D9
犖,"낙,락","낙,락 : 얼룩소(락)",영,14,U+7296
珞,"낙,락","낙,락 : 구슬목걸이(낙/락)","각,낙,명 : 구슬목걸이(락/낙)",10,U+73DE
絡,"낙,락","낙,락 : 연락(락) 맥(낙/락)","경,낙,명,종",12,U+7D61
落,"낙,락","낙,락 : 떨어질(낙/락)",낙 : 떨어질(락/낙),15,U+843D
酪,"낙,락","낙,락 : 타락(낙/락) 과즙(낙/락)",낙 : 과즙(락/낙),13,U+916A
駱,"낙,락","낙,락 : 낙타(낙/락) 가리온(낙/락)",낙,16,U+99F1
򠅀,"낙,락","낙,락",락,15,U+A0140
樂,"낙,락,악,요","낙,락,악,요 : 즐길락(낙/락) 풍류(악) 좋아할(요)",낙 : 즐길락(낙),15,U+6A02
偄,난,난 : 연약할(난),란 : 연약할(란),11,U+5044
愞,난,난 : 약할(난),"나,란,연 : 약할(연)  겁낼(나)",12,U+611E
暖,난,난 : 따뜻할(난),"란,완,원,준,환 ,훤",13,U+6696
煖,난,난 : 따뜻할(난),"관,란,완,원 : 따뜻할(난/훤)",13,U+7156
赧,난,난 : 붉힐(난),,11,U+8D67
難,난,난 : 어려울(난) 재앙(난),"나,라,란, : 어려울(란) 재앙(란)",19,U+96E3
餪,난,난 : 풀보기잔치(난)  음식보낼(난),,18,U+992A
丹,"난,단,란","난,단,란 : 주사(단) 붉을(단) 꽃이름(란(한국음))",난,4,U+4E39
亂,"난,란","난,란 : 어지러울((난/란)",난 : 어지러울(란/난),13,U+4E82
卵,"난,란","난,란 : 알((난/란)",난 : 알(란/난),7,U+5375
嬾,"난,란","난,란 : 게으를(란)",,19,U+5B3E
幱,"난,란","난,란 : 내리닫이옷(란)",,20,U+5E71
攔,"난,란","난,란 : 막을(란)",연,20,U+6514
欄,"난,란","난,란 : 난간(난/란)",난 : 난간(란/난),21,U+6B04
欒,"난,란","난,란 : 모감주나무((난/란)","난,련,연",23,U+6B12
欗,"난,란","난,란",,25,U+6B17
瀾,"난,란","난,란 : 물결((난/란)","난,한",20,U+703E
灓,"난,란","난,란 : 물비껴건널(란) 스며흐를(란)",연,23,U+7053
灡,"난,란","난,란 : 뜨물(란)",,24,U+7061
爛,"난,란","난,란 : 문드러질((난/란)",난 : 문드러질(란/난),21,U+721B
瓓,"난,란","난,란 : 옥무늬((난/란)",난 : 옥무늬(난/란),21,U+74D3
蘭,"난,란","난,란 : 난초((난/란)","난,주 : 난초(란/난)",23,U+862D
襴,"난,란","난,란 : 내리닫이옷(란)",,23,U+8974
鑾,"난,란","난,란: 방울(란)",,27,U+947E
闌,"난,란","난,란 : 막을(란) 난간(란) 늦을(란) 한창(란)  드물(란) 함부로(란)",문,17,U+95CC
鸞,"난,란","난,란 : 난새((난/란)","난,남,만",30,U+9E1E
򠅁,"난,란","난,란 : 난초(난/란)",,23,U+A0141
䜌,"난,란,련,연","난,란,련,연",,19,U+470C
捏,날,날 : 집을(날) 꾸밀(날),날 : 집을(날) 꾸밀 (날),10,U+634F
捺,날,날 : 누를(날),나,11,U+637A
剌,"날,라,랄","날,라,랄",나,9,U+524C
埒,"날,랄","날,랄 : 같을(랄)","나,열 : 같을(렬)",10,U+57D2
辢,"날,랄","날,랄 : 매울(랄)",,14,U+8FA2
辣,"날,랄","날,랄 : 매울(날/랄)",랄 : 매울(랄),14,U+8FA3
侽,남,남 : 男(사내(남))의 俗字,난,9,U+4FBD
南,남,남 : 남녘(남),,9,U+5357
喃,남,남 : 재재거릴(남),,12,U+5583
娚,남,남 : 말소리(남) 오라비(남)(한국한자),,10,U+5A1A
婻,남,남 : 몸퉁퉁할(남),,12,U+5A7B
揇,남,남 : 잡을(남),,12,U+63C7
暔,남,남 : 나라이름(남),,13,U+6694
枏,남,남 : 녹나무(남),염,8,U+678F
楠,남,남 : 녹나무(남),,13,U+6960
湳,남,남 : 물이름(남),,12,U+6E73
男,남,남 : 사내(남),,7,U+7537
諵,남,남 : 수다스러울(남),,16,U+8AF5
㛦,"남,람","남,람","남,란,림,보,임,주",11,U+36E6
婪,"남,람","남,람 : 탐할(람)","금,란,임",11,U+5A6A
嵐,"남,람","남,람 : 남기(남/람)",남 : 남기(람/남),12,U+5D50
惏,"남,람","남,람 : 탐할(람)",림 : 탐할(림),11,U+60CF
擥,"남,람","남,람 : 잡을(남/람)",남,18,U+64E5
攬,"남,람","남,람 : 잡을(남/람)",남,24,U+652C
欖,"남,람","남,람 : 감람나무(남/람)",남,25,U+6B16
漤,"남,람","남,람: 과실장아찌(람) 물방울(람) 즙낼(람)",,14,U+6F24
濫,"남,람","남,람 : 넘칠(남/람)","남,함 : 넘칠(람/남)",17,U+6FEB
灆,"남,람","남,람 : 물맑을(람)",,21,U+7046
灠,"남,람","남,람 : 샘용솟음칠(람) 물들일(람)",,24,U+7060
爁,"남,람","남,람: 불번질(람)",,18,U+7201
璼,"남,람","남,람: 흰옥(람)",납,18,U+74BC
籃,"남,람","남,람 : 바구니(남/람)",남,20,U+7C43
纜,"남,람","남,람 : 배닻줄(남/람)",남,27,U+7E9C
藍,"남,람","남,람 : 쪽(남/람)","감,남,염 : 쪽(람/남)",20,U+85CD
襤,"남,람","남,람 : 헌누더기(남/람)",남 : 헌누더기(람/남),20,U+8964
覽,"남,람","남,람 : 볼(남/람)",남,21,U+89BD
𢱯,"남,람","남,람",,14,U+22C6F
򠅂,"남,람","남,람",람,20,U+A0142
򠉧,"남,람","남,람",,39,U+A0267
納,납,납 : 받을(납) 바칠(납),내,10,U+7D0D
衲,납,납 : 기울(납),,10,U+8872
拉,"납,랍","납,랍 : 끌(납/랍) 꺾을(납/랍)","납,라 : 끌(랍)   꺾을(랍/납)",8,U+62C9
臘,"납,랍","납,랍 : 섣달(납/랍)",납 : 섣달(랍/납),19,U+81D8
蠟,"납,랍","납,랍 : 밀(납/랍)",납 : 밀(랍/납),21,U+881F
鑞,"납,랍","납,랍 : 땜납(랍)",,23,U+945E
囊,낭,낭 : 주머니(낭),랑,22,U+56CA
曩,낭,낭 : 접때(낭),,21,U+66E9
㢃,"낭,랑","낭,랑","람, 량, 양",10,U+3883
娘,"낭,랑","낭,랑 : 계집(낭/랑)","냥,람,량,양,언,차",10,U+5A18
廊,"낭,랑","낭,랑 : 곁채(낭/랑) 행랑(낭/랑)",낭 : 곁채(랑)   행랑(랑/낭),12,U+5ECA
朗,"낭,랑","낭,랑 : 밝을(낭/랑)",랑 : 밝을(랑/낭),10,U+6717
榔,"낭,랑","낭,랑: 빈랑나무(랑)",,13,U+6994
浪,"낭,랑","낭,랑 : 물결(낭/랑)","낭,량,양 : 물결(랑/낭)",10,U+6D6A
烺,"낭,랑","낭,랑 : 빛날(낭/랑)",랑 : 빛날(랑),11,U+70FA
狼,"낭,랑","낭,랑 : 이리(낭/랑)",낭 : 이리(랑/낭),10,U+72FC
琅,"낭,랑","낭,랑 : 옥돌(낭/랑)","낭,량,양,향 : 옥돌(랑)",11,U+7405
瑯,"낭,랑","낭,랑 : 옥돌(낭/랑)","경,낭,량 : 옥돌(랑)",14,U+746F
硠,"낭,랑","낭,랑 : 돌부딪치는소리(랑)","량,양 : 돌부딪치는소리(낭)",12,U+7860
稂,"낭,랑","낭,랑 : 가라지(랑)",양,12,U+7A02
莨,"낭,랑","낭,랑 : 풀이름(랑)",량,13,U+83A8
蜋,"낭,랑","낭,랑 : 사마귀(랑)",,13,U+870B
螂,"낭,랑","낭,랑 : 사마귀(낭/랑)",낭,15,U+8782
郎,"낭,랑","낭,랑 : 사내(랑) 낭군(랑) 벼슬이름(랑)",,9,U+90CE
郞,"낭,랑","낭,랑 : 사내(낭/랑)","낭,량 : 사내(랑/낭)",10,U+90DE
閬,"낭,랑","낭,랑 : 높을(랑)  불알(랑) 휑뎅그레할(랑)",양,15,U+95AC
駺,"낭,랑,량,양","낭,랑,량,양: 꼬리흰말(랑)",,17,U+99FA
乃,내,내 : 이에(내),래,2,U+4E43
內,내,내 : 안(내),나,4,U+5167
奶,내,내 : 젖(내),유,5,U+5976
嬭,내,내 : 젖(내),,17,U+5B2D
耐,내,내 : 견딜(내),내 : 견딜(내) 능할 (능),9,U+8010
迺,내,내 : 이에(내),,10,U+8FFA
鼐,내,내 : 가마솥(내),,15,U+9F10
來,"내,래","내,래 : 올(내/래)",내,8,U+4F86
崍,"내,래","내,래 : 산이름(내/래)",내,11,U+5D0D
徠,"내,래","내,래 : 올(내/래) 위로할(내/래)",내,11,U+5FA0
来,"내,래","내,래 : 올(내/래)",내 : 올(래/내),7,U+6765
淶,"내,래","내,래 : 물이름(래)",,11,U+6DF6
萊,"내,래","내,래 : 명아주(내/래)","내,섭,화",14,U+840A
騋,"내,래","내,래 : 키큰말(래)",,18,U+9A0B
𧼛,"내,래","내,래",래,15,U+27F1B
򠅃,"내,래","내,래",래,14,U+A0143
冷,"냉,랭","냉,랭 : 찰(냉/랭)","냉,령 : 찰(랭/냉)",7,U+51B7
女,"녀,여","녀,여 : 계집(녀/여)",여 : 너(여),3,U+5973
惄,"녁,역","녁,역 : 근심할(녁)",,12,U+60C4
年,"년,연","년,연 : 해 년(년/연)",연 : 해(년/연),6,U+5E74
撚,"년,연","년,연 : 꼴(년/연) 밟을(년/연)","연,천  : 밟을(년/연)",15,U+649A
碾,"년,연","년,연 : 매(년)  빻을(년)",전,15,U+78BE
秊,"년,연","년,연 : 해(년/연)(年의 고자)",연 : 해(년/연)(年의 고자),8,U+79CA
涅,"녈,열","녈,열 : 검은물들 일(녈/열)",날,10,U+6D85
念,"념,염","념,염 : 생각(념/염) 읽을(념/염)","늠,염  : 읽을(념/염)",8,U+5FF5
恬,"념,염","념,염 : 편안할(념/염) 조용할(념/염)","넘,늠,염,철,활",9,U+606C
拈,"념,염","념,염 : 집을(념/염) 꼴(념/염)","염,점 : 집을(점)",8,U+62C8
捻,"념,염","념,염 : 비틀(념/염)",염 : 꼴(염),11,U+637B
惗,"녑,엽","녑,엽","념, 염",11,U+60D7
佞,"녕,영","녕,영 : 재주있을(녕/영)",령,7,U+4F5E
儜,"녕,영","녕,영 : 고달플(녕)  떠들석할(녕)",,16,U+511C
嚀,"녕,영","녕,영 : 말많이할(녕)",,17,U+5680
寗,"녕,영","녕,영 : 寧(평안할(령/영))과 同字",영 : 寧(평안할(령))과 同字,13,U+5BD7
寧,"녕,영","녕,영 : 편안할(녕/영) 차라리(녕/영)",령 : 편안할(령) 차라리(령),14,U+5BE7
濘,"녕,영","녕,영 : 진창(녕)",,17,U+6FD8
獰,"녕,영","녕,영 : 모질(녕/영)",영 : 모질(녕/영),17,U+7370
甯,"녕,영","녕,영 : 편안할(녕/영)",용,12,U+752F
䛝,노,노,,14,U+46DD
努,노,노 : 힘쓸(노),로,7,U+52AA
呶,노,노 : 떠들썩할(노),,8,U+5476
奴,노,노 : 종(노) 놈(노),저,5,U+5974
孥,노,노 : 처자(노) 종(노),"나,니,라,아",8,U+5B65
峱,노,노 : 산이름(노),,10,U+5CF1
弩,노,노 : 쇠뇌(노),,8,U+5F29
怒,노,노 : 성낼(노) 기세(노),로 : 성낼(로) 기세(로),9,U+6012
猱,노,노 : 원숭이(노),,12,U+7331
瑙,노,노 : 마노(노),,13,U+7459
笯,노,노 : 새장(노),,11,U+7B2F
臑,노,노 : 팔(노) 앞다리(노),유,18,U+81D1
駑,노,노 : 둔할(노),,15,U+99D1
勞,"노,로","노,로 : 일할(노/로)",노 : 일할(로/노),12,U+52DE
嚧,"노,로","노,로 : 웃을(노/로)",,19,U+56A7
壚,"노,로","노,로 : 검은석비례(로)",,19,U+58DA
撈,"노,로","노,로 : 잡을(노/로)",노,15,U+6488
擄,"노,로","노,로 : 노략질할(노/로)",로 : 노략질할(로/노),16,U+64C4
櫓,"노,로","노,로 : 노(노/로) 망루(노/로)",노 : 망루(로/노),19,U+6AD3
櫨,"노,로","노,로: 거망옻나무(로)",,20,U+6AE8
滷,"노,로","노,로 : 짠땅(로)",,14,U+6EF7
潞,"노,로","노,로 : 땅이름(노/로) 강이름(노/로) 물이름(노/로)",,15,U+6F5E
澇,"노,로","노,로: 큰물결(로)",,15,U+6F87
瀘,"노,로","노,로 : 물이름(노/로)",노,19,U+7018
爐,"노,로","노,로 : 화로(노/로)",노 : 화로(로/노),20,U+7210
玈,"노,로","노,로 : 검은빛(로)",,11,U+7388
瓐,"노,로","노,로: 비취옥(로)",례,20,U+74D0
癆,"노,로","노,로 : 폐병(로)",,17,U+7646
盧,"노,로","노,로 : 검을(노/로)",노 : 검을(로/노),16,U+76E7
矑,"노,로","노,로 : 눈동자(노/로)  볼(노/로)",,21,U+77D1
窂,"노,로","노,로 : 짐승우리(로) 굳을(로)",뢰,9,U+7A82
老,"노,로","노,로 : 늙을(노/로) 어른(노/로) 익숙할(노/로)",노 : 늙을(로/노),6,U+8001
艪,"노,로","노,로 : 배(로)",,21,U+826A
艫,"노,로","노,로 : 이물(로)",,22,U+826B
蕗,"노,로","노,로: 물감나무(로) 감초(로)",,18,U+8557
蘆,"노,로","노,로 : 갈대(노/로)",노 : 갈대(로/노/려),22,U+8606
虜,"노,로","노,로 : 사로잡을(노/로)",노 : 사로잡을(로/노),10,U+865C
路,"노,로","노,로 : 길(노/로)",노,13,U+8DEF
輅,"노,로","노,로 : 수레(노/로)","각,낙,노,락 : 끝(락)",13,U+8F05
轤,"노,로","노,로 : 두레박틀(로)",,23,U+8F64
鐪,"노,로","노,로 : 부레도가니(로) 칼자루(로)",록,21,U+942A
鑪,"노,로","노,로 : 화로(로) 목로(로)","례,록",24,U+946A
露,"노,로","노,로 : 이슬(노/로)",노 : 이슬(로/노),20,U+9732
顱,"노,로","노,로 :  머리(로)",록,25,U+9871
髗,"노,로","노,로 : 해골(로) 천령개(로)",,26,U+9AD7
魯,"노,로","노,로 : 둔할(노/로) 노나라(노/로) 성(노/로)",노,15,U+9B6F
鱸,"노,로","노,로 : 농어(로)",록,27,U+9C78
鷺,"노,로","노,로 : 백로(노/로)",노,23,U+9DFA
鸕,"노,로","노,로 : 가마우지(로)",록,27,U+9E15
鹵,"노,로","노,로 : 염밭(노/로)",노,11,U+9E75
򠅆,"노,로","노,로",로,22,U+A0146
򠉱,"노,로","노,로",,15,U+A0271
򠋑,"노,로","노,로 : 물감나무(노/로) 감초(로)",,16,U+A02D1
潦,"노,로,료,요","노,로,료,요: 큰비(료) 길바닥물(료)",호,15,U+6F66
彔,"녹,록","녹,록 : 나무깍을(녹/록) 근본(녹/록)",녹,8,U+5F54
淥,"녹,록","녹,록 : 물맑을(록)",,11,U+6DE5
漉,"녹,록","녹,록 : 거를(록)",,14,U+6F09
碌,"녹,록","녹,록 : 용렬할(녹/록) 돌태(류/유)",녹 : 용렬할(록/녹),13,U+788C
祿,"녹,록","녹,록 : 복(녹/록)",녹,13,U+797F
簏,"녹,록","녹,록 : 상자(록)",,17,U+7C0F
綠,"녹,록","녹,록 : 초록(녹/록)","녹,연",14,U+7DA0
菉,"녹,록","녹,록 : 조개풀(녹/록)",녹 : 조개풀(록/녹),14,U+83C9
轆,"녹,록","녹,록 : 수렛소리(록)",론,18,U+8F46
錄,"녹,록","녹,록 : 적을(녹/록) 나타낼(녹/록) 취할(녹/록)",녹,16,U+9304
鵦,"녹,록","녹,록 : 새의잡털의빛갈(록)",,19,U+9D66
鹿,"녹,록","녹,록 : 사슴(녹/록)","녹,비,여 : 사슴(록/녹)",11,U+9E7F
麓,"녹,록","녹,록 : 산기슭(녹/록)",녹,19,U+9E93
򠄈,"녹,록","녹,록",록,13,U+A0108
򠅇,"녹,록","녹,록",록,14,U+A0147
論,"논,론","논,론 : 말할(논/론) 논할(논/론)","논,륜,윤 : 말할(논)   논할(논)   차례(륜)",15,U+8AD6
儂,농,농 : 나(농),,15,U+5102
噥,농,농 : 수근거릴(농),,16,U+5665
濃,농,농 : 짙을(농),,16,U+6FC3
穠,농,농 : 무성할(농),색,18,U+7A60
膿,농,농 : 고름(농),,17,U+81BF
農,농,농 : 농사(농),,13,U+8FB2
醲,농,농 : 진한술(농),,20,U+91B2
儱,"농,롱","농,롱 : 건목칠(롱)","륜,용",18,U+5131
壟,"농,롱","농,롱 : 두둑(농/롱)","농,용 : 두둑(롱/농)",19,U+58DF
弄,"농,롱","농,롱 : 희롱할롱(농/롱)","농,정 : 희롱할롱(농)",7,U+5F04
攏,"농,롱","농,롱 : 가질(롱)","룡,용",19,U+650F
曨,"농,롱","농,롱 : 먼동틀(롱)","룡,용",20,U+66E8
朧,"농,롱","농,롱 : 몽롱(농/롱)","농,록,용",20,U+6727
瀧,"농,롱","농,롱 : 비올(농/롱)","농,랑,룡,상,용  : 땅이름(상)",19,U+7027
瓏,"농,롱","농,롱 : 옥소리(농/롱)","농,용",20,U+74CF
礱,"농,롱","농,롱 : 갈(롱)",용,21,U+7931
籠,"농,롱","농,롱 : 채롱(농/롱) 대상자(농/롱)",농 : 대상자(롱/농),22,U+7C60
聾,"농,롱","농,롱 : 귀막힐(농/롱)",농 : 귀막힐(롱/농),22,U+807E
蘢,"농,롱","농,롱 : 여뀌(롱)","룡,용",22,U+8622
隴,"농,롱","농,롱 : 언덕이름(롱)","뢰,룡,용",19,U+96B4
貀,놜,놜 : 짐승이름(놜),"눌,늘",12,U+8C80
惱,뇌,뇌 : 괴로와할(뇌),,12,U+60F1
腦,뇌,뇌 : 머릿골(뇌),,13,U+8166
餒,뇌,뇌 : 굶주릴(뇌) 굶길(뇌) 생선썩어문드러질(뇌),,16,U+9912
儡,"뇌,뢰","뇌,뢰 : 망칠(뇌/뢰) 허수아비(뇌/뢰)",뇌,17,U+5121
攂,"뇌,뢰","뇌,뢰 : 갈(뢰) 돌내려굴릴(뢰) 끝배(뢰)",,18,U+6502
瀨,"뇌,뢰","뇌,뢰 : 여울(뇌/뢰)","뇌,래",19,U+7028
牢,"뇌,뢰","뇌,뢰 : 우리(뇌/뢰)","노,뇌,로 : 우리(뢰/뇌)",7,U+7262
磊,"뇌,뢰","뇌,뢰 : 돌쌓일(뇌/뢰)","뇌,석 : 돌쌓일(뢰/뇌)",15,U+78CA
礌,"뇌,뢰","뇌,뢰 : 돌쌓일(뢰)",,18,U+790C
礧,"뇌,뢰","뇌,뢰 : 바위(뢰) 돌내리굴릴(뢰)",,20,U+7927
籟,"뇌,뢰","뇌,뢰 : 퉁소(뢰)",렴,22,U+7C5F
纇,"뇌,뢰","뇌,뢰 : 마디(뢰) 흠(뢰)",,21,U+7E87
罍,"뇌,뢰","뇌,뢰 : 술그릇(뢰)",,21,U+7F4D
耒,"뇌,뢰","뇌,뢰: 쟁기(뢰)",,6,U+8012
蕾,"뇌,뢰","뇌,뢰 : 꽃봉오리(뢰)",,19,U+857E
誄,"뇌,뢰","뇌,뢰 : 제문(뢰)",료,13,U+8A84
賂,"뇌,뢰","뇌,뢰 : 뇌물(뇌/뢰) 줄(뇌/뢰)","노,뇌,락,로",13,U+8CC2
賚,"뇌,뢰","뇌,뢰 : 줄(뇌/뢰)","뇌,래",15,U+8CDA
賴,"뇌,뢰","뇌,뢰 : 믿을(뇌/뢰) 힘입을(뇌/뢰)",뢰 : 믿을(뢰) 힘입 을(뢰),16,U+8CF4
酹,"뇌,뢰","뇌,뢰 : 강신할(뢰)",료,14,U+9179
雷,"뇌,뢰","뇌,뢰 : 천둥(뇌/뢰)","뇌,인 : 천둥(뢰/뇌)",13,U+96F7
頼,"뇌,뢰","뇌,뢰 : 의뢰할(뇌/뢰)",,16,U+983C
嫋,"뇨,요","뇨,요 : 간드러질(뇨)",,13,U+5ACB
嬲,"뇨,요","뇨,요 : 희롱할(뇨)",,17,U+5B32
尿,"뇨,요","뇨,요 : 오줌(뇨/요)","요,혜 : 오줌(뇨/요)",7,U+5C3F
撓,"뇨,요","뇨,요 : 굽힐(뇨/요) 긁을(뇨/요)","요,효  : 긁을(뇨/요)",15,U+6493
淖,"뇨,요","뇨,요 : 진흙(뇨)",탁,11,U+6DD6
鐃,"뇨,요","뇨,요 : 휠(뇨)  동발(뇨) 시끄러울(뇨) 징(뇨)",효,20,U+9403
鬧,"뇨,요","뇨,요 : 시끄러울(뇨/요)",료,15,U+9B27
啂,누,누 : 젖먹일(누),유 : 젖먹일(유),11,U+5542
檽,누,누 : 구누나무(누),"나,유 : 버섯(유)",18,U+6ABD
耨,누,누: 괭이(누) 김맬(누),누: 괭이(누) 김맬 (누),16,U+8028
僂,"누,루","누,루 : 굽을(루) 곱사등이(루)",,13,U+50C2
嘍,"누,루","누,루 : 번거로울(루)",,14,U+560D
壘,"누,루","누,루 : 진(누/루)","누,롱,류,유 : 진(루/누)",18,U+58D8
婁,"누,루","누,루 : 끝(누/루) 별이름(누/루)",루 : 끝(루) 별이름 (루),11,U+5A41
屢,"누,루","누,루 : 여러(누/루)",누 : 여러(루/누),14,U+5C62
嶁,"누,루","누,루 : 산이름(루)",,14,U+5D81
慺,"누,루","누,루 : 정성스러울(누/루)",,14,U+617A
摟,"누,루","누,루 : 안을(루)  긁을(루)",수,14,U+645F
樓,"누,루","누,루 : 다락(누/루)",누 : 다락(루/누),15,U+6A13
淚,"누,루","누,루 : 눈물(누/루)",누 : 눈물(루/누),11,U+6DDA
漏,"누,루","누,루 : 샐(누/루)",누 : 샐(루/누),14,U+6F0F
熡,"누,루","누,루: 불꽃(루)",,15,U+71A1
瘻,"누,루","누,루 : 부스럼(누/루) 곱사등이(누/루)",루 : 부스럼(루) 곱 사등이(루),16,U+763B
累,"누,루","누,루 : 포갤(누/루) 누끼칠(누/루)","누,류,우,유  : 누끼칠(루/누)",11,U+7D2F
縷,"누,루","누,루 : 실(누/루)",누,17,U+7E37
耬,"누,루","누,루: 씨뿌리는 그릇(루)",료,17,U+802C
蔞,"누,루","누,루 : 물쑥(누/루)",누,17,U+851E
螻,"누,루","누,루 : 땅강아지(루)",류,17,U+87BB
褸,"누,루","누,루 : 헌누더기(누/루)",루 : 헌누더기(루),17,U+8938
鏤,"누,루","누,루 : 강철(누/루) 새길(누/루) 뚫으(누/루) 칼이름(누/루)",루 : 강철(루) 새길 (루) 뚫으(루)  칼이름(루),19,U+93E4
陋,"누,루","누,루 : 추할(누/루)",누 : 추할(루/누),9,U+964B
髏,"누,루","누,루 : 해골(루)",류,21,U+9ACF
򠅉,"누,루","누,루",루,17,U+A0149
嫩,눈,눈 : 어릴(눈),"난,논,연",14,U+5AE9
吶,눌,눌 : 말더듬을(눌),설,7,U+5436
肭,눌,눌 : 살찔(눌),"내,뉵",8,U+80AD
訥,눌,눌 : 말더듬을(눌),,11,U+8A25
妞,뉴,뉴 : 계집아이(뉴),,7,U+599E
沑,"뉴,뉵,유","뉴,뉵,유","윤,축",7,U+6C91
忸,"뉴,유","뉴,유 : 부끄러워할(뉴)","뉵,육",7,U+5FF8
杻,"뉴,유","뉴,유 : 감탕나무(뉴/유)","루,유,추,축 : 감탕나무(뉴/유)   수갑(축)",8,U+677B
紐,"뉴,유","뉴,유 : 끈(뉴/유) 맺을(뉴/유) 매듭(뉴/유)",유,10,U+7D10
鈕,"뉴,유","뉴,유 : 꼭지(뉴/유) 손잡이(뉴/유)","누,유",12,U+9215
𧘥,"뉴,유","뉴,유",,10,U+27625
衄,"뉵,육","뉵,육 : 질(뉵) 코피(뉵)",,10,U+8844
勒,"늑,륵","늑,륵 : 굴레(늑/륵)","늑,혁 : 굴레(륵/늑)",11,U+52D2
忇,"늑,륵","늑,륵 : 공(륵)",,5,U+5FC7
泐,"늑,륵","늑,륵 : 돌부서질(륵) 새길(륵)","룩,름",8,U+6CD0
肋,"늑,륵","늑,륵 : 갈빗대(늑/륵)",늑 : 갈빗대(륵/늑),6,U+808B
乻,"늘,얼","늘,얼 : 땅이름(얼)",언,9,U+4E7B
凛,"늠,름","늠,름 : 찰(늠/름)",늠 : 찰(름/늠),15,U+51DB
凜,"늠,름","늠,름 : 찰(늠/름)",늠 : 찰(름/늠),15,U+51DC
廩,"늠,름","늠,름 : 쌀곳간(늠/름) 넉넉할(늠/름)","남,늠,릉,염,음",16,U+5EE9
澟,"늠,름","늠,름 : 차고맑을(름) 쓸쓸할(름)",릉,16,U+6F9F
菻,"늠,름","늠,름: 땅이름(름)","릉, 림, 음, 임",14,U+83FB
򠋗,"늠,름","늠, 름 : 땅이름(름)",,11,U+A02D7
能,능,능 : 재능(능),"내,웅,태",10,U+80FD
倰,"능,릉","능,릉 : 속일(릉) 거문고소리(릉)",름,10,U+5030
凌,"능,릉","능,릉 : 얼음(능/릉)",능 : 얼음(릉/능),10,U+51CC
楞,"능,릉","능,릉 : 모(능/릉)",능,13,U+695E
稜,"능,릉","능,릉 : 모(능/릉)",능 : 모(릉/능),13,U+7A1C
綾,"능,릉","능,릉 : 비단(능/릉)",능,14,U+7DBE
菱,"능,릉","능,릉 : 마름(능/릉)",능 : 마름(릉/능),14,U+83F1
蔆,"능,릉","능,릉 : 마름(릉)",리,17,U+8506
陵,"능,릉","능,릉 : 언덕(능/릉)",능 : 언덕(릉/능),11,U+9675
򠅊,"능,릉","능,릉",릉,14,U+A014A
򠉎,"능,릉","능,릉",,13,U+A024E
妮,니,니 : 계집아이(니),이 : 종(이),8,U+59AE
濔,"니,미,이","니,미,이 : 치런치런할(니) 많을(니/미/이)","니,미 : 치런치런할(니) 많을(니/미)",17,U+6FD4
㦐,"니,이","니,이",,15,U+3990
呢,"니,이","니,이 : 어조사(니)",미,8,U+5462
尼,"니,이","니,이 : 중(니/이) 가까울(니/이)","노,이",5,U+5C3C
怩,"니,이","니,이 : 부끄러워할(니)",,8,U+6029
柅,"니,이","니,이 : 팥배나무(니/이)","이,익",9,U+67C5
泥,"니,이","니,이 : 진흙(니/이)","미,이 : 진흙(니/이)",8,U+6CE5
祢,"니,이","니,이 : 아비사당(니)",녜,10,U+7962
禰,"니,이","니,이 : 아버지사당(니)","녜,미 : 아버지사당(녜)",19,U+79B0
